Rank,Team,2022,Last 3,Last 1,Home,Away,2021
1,Bucks,0.678,0,0,0.75,0.605,0.617
2,Nuggets,0.677,1,1,0.846,0.5,0.563
3,Celtics,0.667,0.667,0,0.712,0.62,0.613
4,76ers,0.656,0.333,0,0.696,0.617,0.606
5,Grizzlies,0.602,0.333,0,0.841,0.364,0.66
6,Cavaliers,0.598,0,0,0.727,0.465,0.524
7,Kings,0.573,0.333,0,0.556,0.591,0.366
8,NY Knicks,0.57,0.333,0,0.587,0.553,0.451
9,Suns,0.548,0.333,0,0.681,0.413,0.747
10,Heat,0.542,0,0,0.642,0.444,0.64
11,Warriors,0.526,0.333,0,0.787,0.271,0.664
12,Lakers,0.525,0,0,0.6,0.449,0.402
13,Nets,0.523,0,0,0.535,0.512,0.517
14,Clippers,0.517,0,0,0.535,0.5,0.5
15,Pelicans,0.506,0.333,0,0.643,0.366,0.444
16,Hawks,0.494,0.333,0,0.568,0.422,0.517
16,Timberwolves,0.494,0.333,0,0.546,0.444,0.551
18,Raptors,0.494,0.333,0,0.643,0.342,0.568
19,Bulls,0.488,0.667,0,0.537,0.442,0.54
19,Thunder,0.488,0.667,0,0.585,0.395,0.293
21,Mavericks,0.463,0.333,0,0.561,0.366,0.61
22,Jazz,0.451,0.333,0,0.561,0.342,0.58
23,Pacers,0.427,0.333,1,0.488,0.366,0.305
23,Wizards,0.427,0.333,0,0.463,0.39,0.427
25,Magic,0.415,0,0,0.488,0.342,0.268
26,Trail Blazers,0.402,0,0,0.415,0.39,0.329
27,Hornets,0.329,0.333,1,0.317,0.342,0.518
28,Rockets,0.268,1,1,0.342,0.195,0.244
28,Spurs,0.268,0.667,1,0.351,0.2,0.41
30,Pistons,0.207,0.333,0,0.225,0.191,0.281
